代码	名称	最新价	涨跌额	涨跌幅	买入	卖出	昨收	今开	最高	最低	成交量/手	成交额/万	股吧
sh600000	浦发银行	　9.76	-0.01	-0.102%	9.75	9.76	9.77	9.74	9.79	9.69	318,845	31,041.18	股吧
sh600004	白云机场	　14.21	-0.22	-1.525%	14.20	14.21	14.43	14.43	14.43	14.15	82,641	11,773.95	股吧
sh600006	东风汽车	　8.90	+0.81	+10.012%	8.90	0.00	8.09	7.69	8.90	7.66	1,836,329	152,648.54	股吧
sh600007	中国国贸	　13.04	0.00	0.000%	13.04	13.06	13.04	13.06	13.09	12.99	8,965	1,168.87	股吧
sh600008	首创股份	　2.89	0.00	0.000%	2.89	2.90	2.89	2.89	2.91	2.88	277,188	8,023.82	股吧
sh600009	上海机场	　75.63	-0.47	-0.618%	75.62	75.63	76.10	75.80	76.39	73.86	145,984	109,757.19	股吧
sh600010	包钢股份	　1.19	+0.02	+1.709%	1.18	1.19	1.17	1.17	1.19	1.17	2,810,233	33,197.47	股吧
sh600011	华能国际	　4.71	+0.18	+3.974%	4.70	4.71	4.53	4.57	4.85	4.55	748,358	35,407.69	股吧
sh600012	皖通高速	　6.07	-0.09	-1.461%	6.06	6.07	6.16	6.12	6.19	6.03	53,147	3,234.36	股吧
sh600015	华夏银行	　6.23	-0.01	-0.160%	6.22	6.23	6.24	6.23	6.27	6.21	150,797	9,404.25	股吧
sh600016	民生银行	　5.20	-0.02	-0.383%	5.19	5.20	5.22	5.21	5.23	5.17	554,777	28,837.40	股吧
sh600017	日照港	　2.84	+0.03	+1.068%	2.83	2.84	2.81	2.80	2.85	2.79	188,850	5,340.41	股吧
sh600018	上港集团	　4.55	+0.01	+0.220%	4.55	4.56	4.54	4.55	4.60	4.53	328,377	14,974.61	股吧
sh600019	宝钢股份	　6.23	+0.11	+1.797%	6.22	6.23	6.12	6.10	6.32	6.10	1,016,175	63,212.39	股吧
sh600020	中原高速	　3.38	-0.01	-0.295%	3.38	3.39	3.39	3.39	3.41	3.38	56,582	1,917.15	股吧
sh600021	上海电力	　7.25	+0.08	+1.116%	7.24	7.25	7.17	7.23	7.41	7.23	106,435	7,777.04	股吧
sh600022	山东钢铁	　1.45	+0.03	+2.113%	1.45	1.46	1.42	1.42	1.46	1.41	1,198,590	17,283.99	股吧
sh600023	浙能电力	　3.74	+0.06	+1.630%	3.73	3.74	3.68	3.70	3.78	3.69	496,336	18,587.45	股吧
sh600025	华能水电	　4.52	-0.05	-1.094%	4.51	4.52	4.57	4.57	4.66	4.51	279,810	12,799.38	股吧
sh600026	中远海能	　6.64	-0.12	-1.775%	6.63	6.64	6.76	6.70	6.72	6.62	254,814	16,967.30	股吧
sh600027	华电国际	　3.44	+0.08	+2.381%	3.44	3.45	3.36	3.36	3.46	3.36	532,289	18,267.20	股吧
sh600028	中国石化	　4.10	+0.01	+0.244%	4.09	4.10	4.09	4.10	4.13	4.08	899,432	36,932.43	股吧
sh600029	南方航空	　6.16	-0.01	-0.162%	6.15	6.16	6.17	6.16	6.19	6.09	290,722	17,857.10	股吧
sh600030	中信证券	　28.81	-0.41	-1.403%	28.81	28.82	29.22	29.05	29.25	28.75	663,845	192,095.07	股吧
sh600031	三一重工	　31.56	-0.81	-2.502%	31.55	31.56	32.37	32.18	32.37	31.51	678,282	215,162.82	股吧
sh600033	福建高速	　2.65	+0.01	+0.379%	2.64	2.65	2.64	2.64	2.66	2.63	48,981	1,297.19	股吧
sh600035	楚天高速	　2.90	-0.02	-0.685%	2.89	2.90	2.92	2.92	2.93	2.88	55,381	1,608.18	股吧
sh600036	招商银行	　43.10	-0.95	-2.157%	43.09	43.10	44.05	44.09	44.39	42.80	760,600	329,658.91	股吧
sh600037	歌华有线	　10.02	+0.05	+0.502%	10.01	10.02	9.97	9.95	10.02	9.90	61,562	6,134.45	股吧
sh600038	中直股份	　56.30	+3.92	+7.484%	56.30	56.31	52.38	52.17	56.96	52.03	169,802	94,290.90	股吧
sh600039	四川路桥	　4.53	-0.04	-0.875%	4.52	4.53	4.57	4.60	4.60	4.51	162,641	7,384.54	股吧
sh600048	保利地产	　16.05	-0.11	-0.681%	16.04	16.05	16.16	16.11	16.16	15.83	971,686	155,603.59	股吧
sh600050	中国联通	　4.69	+0.04	+0.860%	4.68	4.69	4.65	4.65	4.69	4.63	1,115,025	52,067.92	股吧
sh600051	宁波联合	　9.10	-0.15	-1.622%	9.10	9.11	9.25	9.22	9.25	9.08	41,382	3,777.67	股吧
sh600052	浙江广厦	　3.08	-0.01	-0.324%	3.08	3.09	3.09	3.08	3.13	3.07	38,465	1,190.81	股吧
sh600053	九鼎投资	　19.97	-0.29	-1.431%	19.97	20.00	20.26	20.34	20.55	19.88	18,619	3,756.12	股吧
sh600054	黄山旅游	　8.75	-0.03	-0.342%	8.74	8.75	8.78	8.80	8.82	8.74	24,188	2,124.58	股吧
sh600055	万东医疗	　10.66	-0.09	-0.837%	10.65	10.66	10.75	10.71	10.78	10.60	30,410	3,249.72	股吧
sh600056	中国医药	　14.79	-0.17	-1.136%	14.78	14.79	14.96	14.89	14.95	14.70	76,200	11,284.74	股吧
sh600057	厦门象屿	　6.08	+0.03	+0.496%	6.08	6.09	6.05	6.08	6.15	6.04	96,419	5,875.99	股吧
sh600058	五矿发展	　7.06	+0.09	+1.291%	7.06	7.07	6.97	6.97	7.10	6.93	115,646	8,141.67	股吧
sh600059	古越龙山	　13.95	+1.27	+10.016%	13.95	0.00	12.68	12.60	13.95	12.40	1,004,921	136,080.76	股吧
sh600060	海信视像	　11.25	+0.01	+0.089%	11.24	11.25	11.24	11.24	11.34	11.13	139,144	15,630.25	股吧
sh600061	国投资本	　13.96	-0.31	-2.172%	13.96	13.97	14.27	14.25	14.27	13.96	193,814	27,320.83	股吧
sh600062	华润双鹤	　12.05	-0.10	-0.823%	12.05	12.06	12.15	12.15	12.15	12.00	38,321	4,619.48	股吧
sh600063	皖维高新	　3.70	-0.01	-0.270%	3.69	3.70	3.71	3.71	3.77	3.68	142,470	5,297.24	股吧
sh600064	南京高科	　10.32	-0.16	-1.527%	10.32	10.33	10.48	10.50	10.50	10.32	76,013	7,896.96	股吧
sh600066	宇通客车	　16.95	+0.17	+1.013%	16.95	16.96	16.78	16.70	17.20	16.56	185,907	31,562.33	股吧
sh600067	冠城大通	　3.74	-0.05	-1.319%	3.74	3.75	3.79	3.77	3.83	3.74	58,852	2,223.45	股吧
sh600068	葛洲坝	　6.57	+0.06	+0.922%	6.56	6.57	6.51	6.51	6.58	6.50	182,262	11,910.76	股吧
sh600070	浙江富润	　8.90	-0.15	-1.657%	8.90	8.91	9.05	9.09	9.15	8.80	71,488	6,409.74	股吧
sh600071	凤凰光学	　10.95	+0.01	+0.091%	10.94	10.95	10.94	10.91	11.13	10.82	33,436	3,667.00	股吧
sh600072	中船科技	　12.88	-0.30	-2.276%	12.87	12.88	13.18	13.10	13.30	12.85	205,100	26,797.17	股吧
sh600073	上海梅林	　10.42	-0.24	-2.251%	10.42	10.43	10.66	10.55	10.62	10.35	278,529	29,132.30	股吧
sh600075	新疆天业	　5.85	+0.04	+0.688%	5.85	5.86	5.81	5.77	5.91	5.75	122,133	7,134.87	股吧
sh600076	康欣新材	　3.72	-0.11	-2.872%	3.72	3.73	3.83	3.81	3.83	3.71	150,187	5,641.74	股吧
sh600077	宋都股份	　3.26	+0.02	+0.617%	3.26	3.27	3.24	3.24	3.29	3.22	35,745	1,167.84	股吧
sh600078	澄星股份	　4.21	0.00	0.000%	4.21	4.22	4.21	4.20	4.26	4.18	30,183	1,272.17	股吧
sh600079	人福医药	　33.76	-1.05	-3.016%	33.76	33.77	34.81	35.37	35.55	33.76	70,984	24,395.53	股吧
sh600080	ST金花	　5.72	-0.01	-0.175%	5.71	5.72	5.73	5.70	5.73	5.67	8,861	505.22	股吧
sh600081	东风科技	　14.58	+1.33	+10.038%	14.58	0.00	13.25	13.58	14.58	13.38	277,755	39,636.79	股吧
sh600082	海泰发展	　3.06	-0.04	-1.290%	3.05	3.06	3.10	3.05	3.11	3.04	29,173	896.87	股吧
sh600083	*ST博信	　6.30	+0.06	+0.962%	6.27	6.30	6.24	6.31	6.34	6.21	9,570	598.57	股吧
sh600084	ST中葡	　2.24	+0.05	+2.283%	2.23	2.24	2.19	2.17	2.24	2.17	64,614	1,433.11	股吧
sh600085	同仁堂	　25.10	+0.17	+0.682%	25.10	25.11	24.93	24.87	25.24	24.87	182,303	45,772.52	股吧
sh600086	*ST金钰	　0.95	+0.05	+5.556%	0.95	0.00	0.90	0.86	0.95	0.86	362,759	3,398.49	股吧
sh600088	中视传媒	　11.78	+0.22	+1.903%	11.77	11.78	11.56	11.50	12.00	11.35	65,902	7,697.90	股吧
sh600089	特变电工	　9.38	+0.42	+4.687%	9.37	9.38	8.96	8.98	9.65	8.91	1,869,179	174,060.51	股吧
sh600090	*ST济堂	　1.51	+0.04	+2.721%	1.50	1.51	1.47	1.46	1.52	1.45	193,616	2,871.71	股吧
sh600091	ST明科	　1.87	+0.02	+1.081%	1.86	1.87	1.85	1.77	1.88	1.77	52,150	946.46	股吧
