代码	名称	最新价	涨跌额	涨跌幅	买入	卖出	昨收	今开	最高	最低	成交量/手	成交额/万	股吧
sh600000	浦发银行	　9.76	-0.01	-0.102%	9.75	9.76	9.77	9.74	9.79	9.69	318,845	31,041.18	股吧
sh600004	白云机场	　14.21	-0.22	-1.525%	14.20	14.21	14.43	14.43	14.43	14.15	82,641	11,773.95	股吧
sh600009	上海机场	　75.63	-0.47	-0.618%	75.62	75.63	76.10	75.80	76.39	73.86	145,984	109,757.19	股吧
sh600010	包钢股份	　1.19	+0.02	+1.709%	1.18	1.19	1.17	1.17	1.19	1.17	2,810,233	33,197.47	股吧
sh600011	华能国际	　4.71	+0.18	+3.974%	4.70	4.71	4.53	4.57	4.85	4.55	748,358	35,407.69	股吧
sh600015	华夏银行	　6.23	-0.01	-0.160%	6.22	6.23	6.24	6.23	6.27	6.21	150,797	9,404.25	股吧
sh600016	民生银行	　5.20	-0.02	-0.383%	5.19	5.20	5.22	5.21	5.23	5.17	554,777	28,837.40	股吧
sh600018	上港集团	　4.55	+0.01	+0.220%	4.55	4.56	4.54	4.55	4.60	4.53	328,377	14,974.61	股吧
sh600019	宝钢股份	　6.23	+0.11	+1.797%	6.22	6.23	6.12	6.10	6.32	6.10	1,016,175	63,212.39	股吧
sh600025	华能水电	　4.52	-0.05	-1.094%	4.51	4.52	4.57	4.57	4.66	4.51	279,810	12,799.38	股吧
sh600027	华电国际	　3.44	+0.08	+2.381%	3.44	3.45	3.36	3.36	3.46	3.36	532,289	18,267.20	股吧
sh600028	中国石化	　4.10	+0.01	+0.244%	4.09	4.10	4.09	4.10	4.13	4.08	899,432	36,932.43	股吧
sh600029	南方航空	　6.16	-0.01	-0.162%	6.15	6.16	6.17	6.16	6.19	6.09	290,722	17,857.10	股吧
sh600030	中信证券	　28.81	-0.41	-1.403%	28.81	28.82	29.22	29.05	29.25	28.75	663,845	192,095.07	股吧
sh600031	三一重工	　31.56	-0.81	-2.502%	31.55	31.56	32.37	32.18	32.37	31.51	678,282	215,162.82	股吧
sh600036	招商银行	　43.10	-0.95	-2.157%	43.09	43.10	44.05	44.09	44.39	42.80	760,600	329,658.91	股吧
sh600038	中直股份	　56.30	+3.92	+7.484%	56.30	56.31	52.38	52.17	56.96	52.03	169,802	94,290.90	股吧
sh600048	保利地产	　16.05	-0.11	-0.681%	16.04	16.05	16.16	16.11	16.16	15.83	971,686	155,603.59	股吧
sh600050	中国联通	　4.69	+0.04	+0.860%	4.68	4.69	4.65	4.65	4.69	4.63	1,115,025	52,067.92	股吧
sh600061	国投资本	　13.96	-0.31	-2.172%	13.96	13.97	14.27	14.25	14.27	13.96	193,814	27,320.83	股吧
sh600066	宇通客车	　16.95	+0.17	+1.013%	16.95	16.96	16.78	16.70	17.20	16.56	185,907	31,562.33	股吧
sh600068	葛洲坝	　6.57	+0.06	+0.922%	6.56	6.57	6.51	6.51	6.58	6.50	182,262	11,910.76	股吧
sh600085	同仁堂	　25.10	+0.17	+0.682%	25.10	25.11	24.93	24.87	25.24	24.87	182,303	45,772.52	股吧
sh600089	特变电工	　9.38	+0.42	+4.687%	9.37	9.38	8.96	8.98	9.65	8.91	1,869,179	174,060.51	股吧
sh600104	上汽集团	　24.67	+0.31	+1.273%	24.67	24.68	24.36	24.33	25.04	24.21	671,866	166,314.14	股吧
sh600109	国金证券	　16.83	-0.27	-1.579%	16.83	16.84	17.10	17.00	17.10	16.68	511,461	86,290.21	股吧
sh600111	北方稀土	　12.44	+0.08	+0.647%	12.44	12.45	12.36	12.29	12.78	12.21	1,150,217	143,190.69	股吧
sh600115	东方航空	　4.77	0.00	0.000%	4.76	4.77	4.77	4.77	4.80	4.74	243,586	11,623.02	股吧
sh600118	中国卫星	　30.50	-0.30	-0.974%	30.50	30.60	30.80	30.79	31.15	30.50	92,532	28,491.67	股吧
sh600170	上海建工	　3.03	0.00	0.000%	3.02	3.03	3.03	3.03	3.04	3.02	180,663	5,467.38	股吧
sh600176	中国巨石	　17.37	+0.69	+4.137%	17.37	17.38	16.68	16.89	17.80	16.86	465,742	81,055.11	股吧
sh600177	雅戈尔	　7.17	0.00	0.000%	7.16	7.17	7.17	7.18	7.20	7.14	92,907	6,663.03	股吧
sh600183	生益科技	　27.00	+0.15	+0.559%	27.00	27.01	26.85	27.07	27.58	26.80	220,284	59,821.95	股吧
sh600188	兖州煤业	　10.79	+0.63	+6.201%	10.78	10.79	10.16	10.45	10.99	10.38	660,227	70,769.44	股吧
sh600196	复星医药	　55.91	-0.71	-1.254%	55.91	55.92	56.62	56.63	56.86	55.05	531,449	296,738.31	股吧
sh600208	新湖中宝	　3.16	+0.02	+0.637%	3.15	3.16	3.14	3.15	3.18	3.14	322,798	10,187.01	股吧
sh600219	南山铝业	　2.81	+0.07	+2.555%	2.80	2.81	2.74	2.77	2.85	2.74	1,885,661	53,052.10	股吧
sh600221	海航控股	　1.52	+0.01	+0.662%	1.52	1.53	1.51	1.51	1.53	1.50	983,209	14,943.35	股吧
sh600233	圆通速递	　11.86	-0.23	-1.902%	11.86	11.87	12.09	12.08	12.08	11.86	97,744	11,682.44	股吧
sh600271	航天信息	　12.55	0.00	0.000%	12.55	12.57	12.55	12.52	12.78	12.51	59,417	7,505.40	股吧
sh600276	恒瑞医药	　105.66	+0.48	+0.456%	105.65	105.66	105.18	105.81	107.45	104.42	463,821	492,000.71	股吧
sh600297	广汇汽车	　3.05	-0.03	-0.974%	3.04	3.05	3.08	3.04	3.10	3.04	563,181	17,258.97	股吧
sh600299	安迪苏	　12.37	+0.08	+0.651%	12.36	12.37	12.29	12.23	12.42	12.19	51,611	6,368.51	股吧
sh600309	万华化学	　87.10	+1.15	+1.338%	87.02	87.10	85.95	85.96	88.20	85.96	158,250	138,295.24	股吧
sh600332	白云山	　29.99	-0.26	-0.860%	29.99	30.00	30.25	30.28	30.36	29.95	62,814	18,863.33	股吧
sh600340	华夏幸福	　13.74	-0.07	-0.507%	13.74	13.75	13.81	13.81	13.94	13.74	77,741	10,738.09	股吧
sh600346	恒力石化	　25.60	+0.50	+1.992%	25.60	25.61	25.10	25.13	25.90	25.05	341,813	87,141.68	股吧
sh600352	浙江龙盛	　14.12	-0.04	-0.282%	14.12	14.13	14.16	14.17	14.28	14.09	225,585	32,014.46	股吧
sh600362	江西铜业	　21.41	+0.49	+2.342%	21.41	21.42	20.92	20.90	21.60	20.78	860,492	183,354.74	股吧
sh600369	西南证券	　5.17	-0.01	-0.193%	5.17	5.18	5.18	5.17	5.22	5.13	208,980	10,807.64	股吧
sh600372	中航电子	　17.25	+0.31	+1.830%	17.20	17.25	16.94	16.96	17.50	16.90	182,477	31,474.38	股吧
sh600383	金地集团	　13.67	-0.31	-2.217%	13.67	13.68	13.98	13.94	14.05	13.65	303,782	41,889.53	股吧
sh600390	五矿资本	　6.97	+0.01	+0.144%	6.97	6.98	6.96	6.93	7.06	6.89	170,351	11,867.42	股吧
sh600398	海澜之家	　6.38	-0.07	-1.085%	6.38	6.39	6.45	6.45	6.45	6.35	55,669	3,557.07	股吧
sh600406	国电南瑞	　24.15	+0.67	+2.853%	24.14	24.15	23.48	23.85	24.20	23.58	240,295	57,679.09	股吧
sh600436	片仔癀	　246.07	-4.77	-1.902%	246.07	246.22	250.84	246.80	250.50	244.85	37,483	92,805.63	股吧
sh600438	通威股份	　33.64	+1.58	+4.928%	33.64	33.65	32.06	32.00	33.76	31.82	1,104,960	364,099.66	股吧
sh600482	中国动力	　16.51	-0.15	-0.900%	16.51	16.52	16.66	16.62	16.75	16.49	28,717	4,770.05	股吧
sh600487	亨通光电	　14.01	+0.14	+1.009%	14.01	14.02	13.87	14.00	14.19	13.97	120,110	16,892.51	股吧
sh600489	中金黄金	　9.01	-0.02	-0.221%	9.01	9.02	9.03	9.09	9.12	9.01	270,392	24,482.43	股吧
sh600498	烽火通信	　23.32	-0.12	-0.512%	23.31	23.32	23.44	23.40	23.61	23.30	50,611	11,856.35	股吧
sh600516	方大炭素	　6.71	+0.21	+3.231%	6.70	6.71	6.50	6.53	6.81	6.50	781,698	52,061.00	股吧
sh600519	贵州茅台	　1845.00	-20.51	-1.099%	1845.00	1846.82	1865.51	1851.81	1869.01	1841.08	27,077	502,096.90	股吧
sh600522	中天科技	　10.53	+0.02	+0.190%	10.53	10.54	10.51	10.53	10.64	10.50	179,100	18,909.50	股吧
sh600547	山东黄金	　23.94	+0.03	+0.125%	23.93	23.94	23.91	24.08	24.13	23.83	243,429	58,374.50	股吧
sh600570	恒生电子	　101.40	+0.21	+0.208%	101.40	101.41	101.19	102.00	102.43	100.50	74,886	75,800.40	股吧
sh600583	海油工程	　4.48	+0.04	+0.901%	4.48	4.49	4.44	4.44	4.52	4.43	225,619	10,111.43	股吧
sh600585	海螺水泥	　53.17	+0.27	+0.510%	53.17	53.18	52.90	52.91	53.72	52.75	195,178	104,035.93	股吧
sh600588	用友网络	　44.81	+0.09	+0.201%	44.81	44.82	44.72	45.10	45.78	44.68	115,185	51,961.72	股吧
sh600606	绿地控股	　6.10	0.00	0.000%	6.10	6.11	6.10	6.08	6.17	6.06	217,475	13,295.27	股吧
