代码	名称	最新价	涨跌额	涨跌幅	买入	卖出	昨收	今开	最高	最低	成交量/手	成交额/万	股吧
sh600006	东风汽车	　8.90	+0.81	+10.012%	8.90	0.00	8.09	7.69	8.90	7.66	1,836,329	152,648.54	股吧
sh600008	首创股份	　2.89	0.00	0.000%	2.89	2.90	2.89	2.89	2.91	2.88	277,188	8,023.82	股吧
sh600021	上海电力	　7.25	+0.08	+1.116%	7.24	7.25	7.17	7.23	7.41	7.23	106,435	7,777.04	股吧
sh600022	山东钢铁	　1.45	+0.03	+2.113%	1.45	1.46	1.42	1.42	1.46	1.41	1,198,590	17,283.99	股吧
sh600026	中远海能	　6.64	-0.12	-1.775%	6.63	6.64	6.76	6.70	6.72	6.62	254,814	16,967.30	股吧
sh600037	歌华有线	　10.02	+0.05	+0.502%	10.01	10.02	9.97	9.95	10.02	9.90	61,562	6,134.45	股吧
sh600038	中直股份	　56.30	+3.92	+7.484%	56.30	56.31	52.38	52.17	56.96	52.03	169,802	94,290.90	股吧
sh600039	四川路桥	　4.53	-0.04	-0.875%	4.52	4.53	4.57	4.60	4.60	4.51	162,641	7,384.54	股吧
sh600053	九鼎投资	　19.97	-0.29	-1.431%	19.97	20.00	20.26	20.34	20.55	19.88	18,619	3,756.12	股吧
sh600056	中国医药	　14.79	-0.17	-1.136%	14.78	14.79	14.96	14.89	14.95	14.70	76,200	11,284.74	股吧
sh600060	海信视像	　11.25	+0.01	+0.089%	11.24	11.25	11.24	11.24	11.34	11.13	139,144	15,630.25	股吧
sh600062	华润双鹤	　12.05	-0.10	-0.823%	12.05	12.06	12.15	12.15	12.15	12.00	38,321	4,619.48	股吧
sh600064	南京高科	　10.32	-0.16	-1.527%	10.32	10.33	10.48	10.50	10.50	10.32	76,013	7,896.96	股吧
sh600073	上海梅林	　10.42	-0.24	-2.251%	10.42	10.43	10.66	10.55	10.62	10.35	278,529	29,132.30	股吧
sh600079	人福医药	　33.76	-1.05	-3.016%	33.76	33.77	34.81	35.37	35.55	33.76	70,984	24,395.53	股吧
sh600089	特变电工	　9.38	+0.42	+4.688%	9.37	9.38	8.96	8.98	9.65	8.91	1,869,179	174,060.51	股吧
sh600094	大名城	　4.31	-0.08	-1.822%	4.31	4.32	4.39	4.42	4.42	4.30	81,363	3,532.70	股吧
sh600120	浙江东方	　6.26	-0.05	-0.792%	6.25	6.26	6.31	6.27	6.30	6.20	91,954	5,740.69	股吧
sh600126	杭钢股份	　5.30	+0.02	+0.379%	5.29	5.30	5.28	5.27	5.38	5.25	190,081	10,080.42	股吧
sh600131	国网信通	　14.43	+0.21	+1.477%	14.42	14.43	14.22	14.32	14.84	14.19	146,605	21,156.98	股吧
sh600132	重庆啤酒	　116.99	-3.00	-2.500%	116.90	116.99	119.99	119.01	120.66	116.35	24,009	28,364.32	股吧
sh600141	兴发集团	　11.80	+0.20	+1.724%	11.79	11.80	11.60	11.68	12.03	11.60	216,272	25,611.10	股吧
sh600143	金发科技	　16.64	-0.08	-0.478%	16.64	16.65	16.72	16.72	16.86	16.47	290,917	48,499.67	股吧
