标的证券代码	标的证券简称	本日融资余额(元)	本日融资买入额(元)	本日融资偿还额(元)	本日融券余量	本日融券卖出量	本日融券偿还量
510050	50ETF	9201339704	224314910	260603810	34601322	7173200	16820700
510180	180ETF	162116157	1451653	770588	788250	67300	110800
510210	综指ETF	3434083	802209	1178339	0	0	0
510230	金融ETF	34751366	4564585	4693374	0	0	0
510300	300ETF	9213172377	128374946	112801923	77785477	9982000	10376710
510310	HS300ETF	376408240	6377697	3285855	160901500	7277300	21324500
510330	华夏300	1094500345	9704011	34029965	42757210	1419300	3788100
510360	广发300	920635	28495	6516	0	0	0
510390	平安300	28358354	3088304	65825	11994660	730500	2473700
510500	500ETF	831517063	76493947	66283353	1737725663	29950700	16401300
510510	广发500	19145769	348824	200159	658377100	13694300	4049700
510580	ZZ500ETF	2300104	199489	271828	800000	0	0
510590	平安500	411620	378049	1308609	17377656	352500	33800
510710	上50ETF	6436125	808399	124	0	0	0
510760	上证ETF	1151991	415586	606493	0	0	0
510810	上海国企	161854	33137	30656	0	0	0
510880	红利ETF	36083335	2024993	2181077	0	0	0
510900	H股ETF	31119821707	291526468	252834886	0	0	0
511010	国债ETF	9376736	253480	253480	0	0	0
511180	上证转债	417820	0	0	0	0	0
511380	转债ETF	28410814	586652	509400	0	0	0
512000	券商ETF	2500209946	190442112	166446475	73926350	4500000	3435800
512010	医药ETF	51015281	4279992	8539253	0	0	0
512070	非银ETF	31911335	3358877	3368640	0	0	0
512100	1000ETF	2192871	1455873	1365612	0	0	0
512160	MSCI基金	7105208	181570	39223	0	0	0
512170	医疗ETF	68316459	3803385	10891393	7800000	1200000	0
512200	地产ETF	36112145	8873860	13324927	0	0	0
512290	生物医药	150752527	7707178	14148710	0	0	0
512330	信息ETF	19664200	5516206	1364655	0	0	0
512400	有色ETF	236544600	38752404	28283114	0	0	0
512480	半导体	393467219	55016481	44120379	0	0	0
512500	中证500	24795422	5855654	6014000	711358353	8827700	13291600
512510	ETF500	2342014	319458	523597	4519200	0	498800
512580	环保ETF	5813737	380618	1131046	0	0	0
512660	军工ETF	376833109	50177271	51764385	9000000	3782000	0
512680	军工基金	3567500	569550	525811	0	0	0
512690	酒ETF	107353267	20958396	16642065	0	0	0
512700	银行基金	6072897	536399	774052	0	0	0
512710	军工龙头	93384180	11403589	9341139	0	0	0
512720	计算机	20252647	2031791	2998264	0	0	0
512760	芯片ETF	781129679	70887095	76580793	69100421	2800000	11996700
512800	银行ETF	905248301	53383659	44756489	17559800	8168700	8934400
