TP53	tumor protein p53	chr17:7565097-7590856	Proteincoding	2787/3207	ALL-US:1/27|AML-US:3/161|BLCA-CN:24/103|BLCA-US:1/130|BOCA-FR:8/98|BOCA-UK:12/66|BRCA-EU:169/560|BRCA-FR:24/64|BRCA-KR:7/33|BRCA-UK:33/117|BRCA-US:264/955|BTCA-JP:60/239|CESC-US:9/194|CLLE-ES:6/218|COAD-US:110/216|COCA-CN:68/187|EOPC-DE:3/62|ESAD-UK:148/203|ESCA-CN:142/228|GACA-CN:3/9|GBM-US:72/268|KIRC-US:3/404|KIRP-US:3/159|LAML-KR:1/117|LGG-US:142/283|LICA-CN:54/163|LICA-FR:52/240|LIHC-US:53/188|LINC-JP:74/244|LIRI-JP:58/258|LUSC-CN:1/10|LUSC-KR:17/66|LUSC-US:128/178|MALY-DE:20/100|MELA-AU:25/183|NBL-US:1/108|ORCA-IN:83/131|OV-AU:81/93|OV-US:70/88|PACA-AU:226/391|PACA-CA:173/259|PAEN-AU:2/52|PAEN-IT:2/37|PBCA-DE:11/380|PRAD-CA:6/124|PRAD-UK:9/108|PRAD-US:22/256|READ-US:59/80|RECA-EU:2/95|SKCA-BR:3/70|SKCM-US:45/335|STAD-US:124/289|THCA-SA:2/129|THCA-US:3/400|UCEC-US:65/246	757
BRAF	v-raf murine sarcoma viral oncogene homolog B	chr7:140419127-140624564	Proteincoding	685/1494	BLCA-CN:5/103|BLCA-US:1/130|BRCA-EU:1/560|BRCA-UK:1/117|BRCA-US:4/955|BTCA-JP:5/239|CESC-US:1/194|CLLE-ES:6/218|COAD-US:32/216|COCA-CN:13/187|ESAD-UK:1/203|ESCA-CN:1/228|GBM-US:6/268|KIRP-US:1/159|LGG-US:2/283|LICA-FR:1/240|LINC-JP:2/244|LIRI-JP:4/258|LUSC-US:5/178|MALY-DE:1/100|MELA-AU:82/183|ORCA-IN:2/131|OV-US:1/88|PACA-AU:2/391|PACA-CA:1/259|PAEN-AU:1/52|PBCA-DE:5/380|PRAD-CA:1/124|PRAD-UK:1/108|PRAD-US:3/256|READ-US:2/80|SKCA-BR:22/70|SKCM-US:146/335|STAD-US:11/289|THCA-SA:71/129|THCA-US:235/400|UCEC-US:6/246	82
KMT2C	lysine (K)-specific methyltransferase 2C	chr7:151832010-152133090	Proteincoding	570/2043	BLCA-CN:6/103|BLCA-US:2/130|BOCA-FR:2/98|BRCA-EU:34/560|BRCA-FR:4/64|BRCA-KR:3/33|BRCA-UK:11/117|BRCA-US:65/955|BTCA-JP:8/239|CESC-US:29/194|CLLE-ES:1/218|COAD-US:14/216|COCA-CN:24/187|ESAD-UK:7/203|ESCA-CN:7/228|GBM-US:9/268|KIRC-US:7/404|KIRP-US:12/159|LAML-KR:9/117|LGG-US:5/283|LICA-CN:6/163|LICA-FR:7/240|LIHC-US:10/188|LINC-JP:3/244|LIRI-JP:11/258|LUSC-KR:9/66|LUSC-US:23/178|MALY-DE:3/100|MELA-AU:19/183|ORCA-IN:2/131|OV-AU:3/93|OV-US:3/88|PACA-AU:16/391|PACA-CA:19/259|PAEN-AU:1/52|PAEN-IT:2/37|PBCA-DE:16/380|PRAD-CA:4/124|PRAD-UK:7/108|PRAD-US:11/256|READ-US:1/80|RECA-EU:3/95|SKCA-BR:8/70|SKCM-US:45/335|STAD-US:38/289|THCA-SA:12/129|THCA-US:4/400|UCEC-US:25/246	590
APC	adenomatous polyposis coli	chr5:112043195-112181936	Proteincoding	513/1142	AML-US:1/161|BLCA-CN:1/103|BRCA-EU:8/560|BRCA-FR:2/64|BRCA-UK:3/117|BRCA-US:14/955|BTCA-JP:10/239|CESC-US:5/194|COAD-US:139/216|COCA-CN:78/187|ESAD-UK:18/203|ESCA-CN:2/228|GBM-US:1/268|KIRC-US:4/404|LGG-US:1/283|LICA-CN:2/163|LICA-FR:4/240|LIHC-US:4/188|LINC-JP:7/244|LIRI-JP:6/258|LUSC-KR:2/66|LUSC-US:7/178|MALY-DE:2/100|MELA-AU:14/183|ORCA-IN:2/131|OV-AU:1/93|OV-US:1/88|PACA-AU:4/391|PACA-CA:8/259|PAEN-AU:1/52|PAEN-IT:1/37|PBCA-DE:1/380|PRAD-CA:1/124|PRAD-UK:1/108|PRAD-US:1/256|READ-US:65/80|RECA-CN:1/10|RECA-EU:1/95|SKCM-US:23/335|STAD-US:37/289|THCA-US:2/400|UCEC-US:27/246	426
PTEN	phosphatase and tensin homolog	chr10:89622870-89731687	Proteincoding	507/1106	BLCA-CN:2/103|BLCA-US:1/130|BRCA-EU:24/560|BRCA-UK:3/117|BRCA-US:32/955|BTCA-JP:4/239|CESC-US:12/194|COAD-US:15/216|COCA-CN:7/187|ESAD-UK:5/203|ESCA-CN:3/228|GBM-US:75/268|KIRC-US:8/404|KIRP-US:5/159|LGG-US:13/283|LICA-FR:3/240|LIHC-US:5/188|LINC-JP:4/244|LIRI-JP:9/258|LUSC-KR:3/66|LUSC-US:14/178|MALY-DE:4/100|MELA-AU:12/183|ORCA-IN:3/131|OV-US:1/88|PACA-CA:3/259|PAEN-AU:1/52|PAEN-IT:2/37|PBCA-DE:4/380|PRAD-CA:1/124|PRAD-UK:7/108|PRAD-US:10/256|READ-US:2/80|RECA-EU:2/95|SKCA-BR:4/70|SKCM-US:27/335|STAD-US:23/289|THCA-SA:1/129|THCA-US:2/400|UCEC-US:151/246	380
ARID1A	AT rich interactive domain 1A (SWI-like)	chr1:27022524-27108595	Proteincoding	450/1029	BLCA-CN:12/103|BLCA-US:2/130|BRCA-EU:13/560|BRCA-UK:3/117|BRCA-US:14/955|BTCA-JP:26/239|CESC-US:9/194|CLLE-ES:2/218|COAD-US:17/216|COCA-CN:4/187|ESAD-UK:21/203|ESCA-CN:1/228|GACA-CN:1/9|KIRC-US:3/404|KIRP-US:2/159|LGG-US:13/283|LICA-CN:5/163|LICA-FR:22/240|LIHC-US:9/188|LINC-JP:17/244|LIRI-JP:22/258|LUSC-KR:1/66|LUSC-US:5/178|MALY-DE:11/100|MELA-AU:5/183|OV-AU:1/93|OV-US:2/88|PACA-AU:20/391|PACA-CA:23/259|PAEN-IT:2/37|PBCA-DE:4/380|PRAD-UK:2/108|READ-US:3/80|SKCM-US:3/335|STAD-US:75/289|UCEC-US:75/246	354
KMT2D	lysine (K)-specific methyltransferase 2D	chr12:49412758-49453557	Proteincoding	355/847	ALL-US:1/27|AML-US:2/161|BLCA-US:2/130|BOCA-FR:1/98|BRCA-EU:5/560|BRCA-FR:2/64|BRCA-UK:3/117|BRCA-US:12/955|BTCA-JP:9/239|CESC-US:14/194|COAD-US:19/216|COCA-CN:4/187|ESAD-UK:3/203|ESCA-CN:17/228|GBM-US:2/268|KIRC-US:7/404|KIRP-US:7/159|LAML-KR:1/117|LGG-US:1/283|LICA-CN:4/163|LICA-FR:8/240|LIHC-US:6/188|LINC-JP:3/244|LIRI-JP:6/258|LUSC-KR:1/66|LUSC-US:24/178|MALY-DE:30/100|MELA-AU:14/183|ORCA-IN:5/131|PACA-AU:11/391|PACA-CA:9/259|PAEN-AU:1/52|PBCA-DE:19/380|PRAD-CA:1/124|PRAD-UK:1/108|PRAD-US:7/256|READ-US:2/80|SKCM-US:18/335|STAD-US:46/289|THCA-SA:1/129|UCEC-US:26/246	379
ATRX	alpha thalassemia/mental retardation syndrome X-linked	chrX:76760356-77041702	Proteincoding	342/1318	AML-US:2/161|BLCA-CN:2/103|BLCA-US:6/130|BOCA-FR:1/98|BRCA-EU:9/560|BRCA-FR:3/64|BRCA-UK:1/117|BRCA-US:16/955|BTCA-JP:4/239|CESC-US:8/194|CLLE-ES:6/218|COAD-US:12/216|COCA-CN:6/187|EOPC-DE:1/62|ESCA-CN:4/228|GBM-US:15/268|KIRC-US:7/404|LGG-US:108/283|LICA-CN:4/163|LICA-FR:3/240|LIHC-US:2/188|LINC-JP:4/244|LIRI-JP:4/258|LUSC-KR:1/66|LUSC-US:11/178|MALY-DE:2/100|MELA-AU:9/183|NBL-US:5/108|ORCA-IN:4/131|OV-AU:3/93|PACA-AU:2/391|PACA-CA:2/259|PAEN-AU:3/52|PAEN-IT:1/37|PRAD-CA:2/124|PRAD-US:1/256|READ-US:4/80|SKCA-BR:1/70|SKCM-US:17/335|STAD-US:21/289|THCA-US:1/400|UCEC-US:24/246	375
IDH1	isocitrate dehydrogenase 1 (NADP+), soluble	chr2:209100951-209130798	Proteincoding	330/631	BLCA-US:2/130|BOCA-UK:37/66|BRCA-EU:1/560|BRCA-US:1/955|BTCA-JP:10/239|COAD-US:3/216|GBM-US:14/268|KIRC-US:1/404|LAML-KR:13/117|LGG-US:215/283|LIHC-US:3/188|LINC-JP:1/244|LIRI-JP:1/258|MALY-DE:1/100|MELA-AU:4/183|PBCA-DE:5/380|PRAD-US:4/256|SKCM-US:14/335	10
SMAD4	SMAD family member 4	chr18:48494410-48611415	Proteincoding	270/835	BLCA-CN:1/103|BLCA-US:1/130|BRCA-EU:4/560|BRCA-UK:2/117|BRCA-US:7/955|BTCA-JP:17/239|CESC-US:5/194|COAD-US:19/216|COCA-CN:11/187|ESAD-UK:22/203|ESCA-CN:3/228|GBM-US:1/268|KIRC-US:1/404|KIRP-US:1/159|LICA-FR:2/240|LINC-JP:3/244|LIRI-JP:1/258|LUSC-US:5/178|MALY-DE:1/100|MELA-AU:1/183|NBL-US:1/108|OV-AU:1/93|PACA-AU:71/391|PACA-CA:51/259|PAEN-IT:1/37|PRAD-UK:1/108|PRAD-US:3/256|READ-US:8/80|SKCM-US:1/335|STAD-US:20/289|UCEC-US:4/246	200
